Company,Year-Invested,Type
DFS Furniture,Buyout,Jun-10
Skillsoft,Public-to-private,May-10
Regina Maria (formerly Centrul Medical Unirea),Buyout,Feb-10
WSiP - Wydawnictwa Szkolne i Pedagogiczne,Public-to-private,Feb-10
GFKL,Buyout,Dec-09
Devin,Public-to-private,Nov-09
MEDIAN,Buyout,Oct-09
Charlotte Russe,Public-to-private,Oct-09
Kroton Educacional,Growth equity,Jul-09
Vantiv,Carve-out,Jun-09
Cetip,Carve-out,May-09
Monte de México,Buyout,Dec-08
Monext,Carve-out,Oct-08
Quero-Quero,Buyout,Sep-08
Bradco Supply,Buyout,Aug-08
Gérard Darel,Buyout,Jul-08
Craegmoor,Buyout,Jul-08
The Priory Group,Carve-out,Jul-08
Airport Shoppes,Buyout,Mar-08
Hudson Group,Buyout,Mar-08
Latin American Airport Holdings,Buyout,Feb-08
Labormed,Buyout,Feb-08
Casa Reha,"Buyout, Secondary buyout","Sep 2005, Jan 2008"
Synventive Molding Solutions,"Buyout, Recapitalization","Jul 2005, Jan 2008"
KAI Group,Buyout,Dec-07
Domestic & General,Public-to-private,Dec-07
Viena,Buyout,Nov-07
Gayosso,Buyout,Oct-07
CAMS - Computer Age Management Services,Growth equity,Oct-07
Equiniti,Carve-out,Sep-07
Takko,Buyout,Aug-07
Sophis,Buyout,Jul-07
Ceramica,Public-to-private,Jun-07
Stokomani,Buyout,May-07
Grupo RA,Buyout,Apr-07
Oxea,Carve-out,Feb-07
Pronto!,Buyout,Feb-07
H.C. Starck,Carve-out,Feb-07
Grupo La Mansión,Buyout,Nov-06
International Meal Company,Buyout,Nov-06
Venere,Buyout,Nov-06
Roma Plastik,Buyout,Oct-06
Ultimo Group,Buyout,Oct-06
BondDesk Group,Carve-out,Aug-06
RWE Solutions,Carve-out,Aug-06
Hune (formerly Euroloc),Buyout,Jul-06
Nuevo Banco Comercial,Privatization,Jun-06
Milano,Buyout,May-06
Dufry South America (formerly Brasif),Buyout,Mar-06
Axtone,Buyout,Jan-06
CCS,Buyout,Oct-05
Hipotecaria Casa Mexicana,Growth equity,Oct-05
Herlitz,Public-to-private,Oct-05
Aircom International,Growth equity,Oct-05
Moeller,"Buyout, Secondary buyout","Dec 2003, Sep 2005"
AMAIT - Administradora Mexiquense del Aeropuerto Internacional de Toluca,Growth equity,Aug-05
Boart Longyear,Carve-out,Jul-05
Deutek,Carve-out,Jul-05
Gruppo Argenta,Buyout,Jun-05
Making Memories,Buyout,May-05
Fat Face,Buyout,Apr-05
HT Troplast,Carve-out,Jan-05
National Bankruptcy Services,Buyout,Dec-04
Proservvi Banco de Serviços,Growth equity,Dec-04
AVIP,Buyout,Sep-04
Intercity,Growth equity,Aug-04
Shoes For Crews,Buyout,Jul-04
Delft Instruments,Public-to-private,Jun-04
Sportfive,Carve-out,Jun-04
BTC - Bulgarian Telecommunications Company,Privatization,Jun-04
Long Term Care Group,Buyout,Apr-04
J. Malucelli Seguradora,Buyout,Mar-04
OCA - Organizacion Coordinadora Argentina,Buyout,Jan-04
Radio 538,Buyout,Dec-03
Parques Reunidos,Public-to-private,Dec-03
Keystone Automotive Operations,"Buyout, Secondary buyout","Mar 1998, Oct 2003"
Bolix,Buyout,Sep-03
Terapia,Public-to-private,Aug-03
Operadora Comercial Aeroportuaria,Growth equity,Aug-03
Raet,Carve-out,Aug-03
Aspen Technology,"Growth equity, PIPE","Oct 1991, Aug 2003"
Financial Dynamics,Carve-out,Jul-03
Danubius,Carve-out,Jun-03
Aviagen,Buyout,May-03
Unmas,Carve-out,May-03
American Radiology Services,Buyout,Mar-03
ILVA,Buyout,Mar-03
Hildebrando,Buyout,Dec-02
MACH,Carve-out,Nov-02
Atmosfera,Buyout,Nov-02
Aerocomidas,Growth equity,Oct-02
Viatris,Carve-out,Aug-02
Poundland,Buyout,Jun-02
GFI Group,Growth equity,Jun-02
Interactive Technology Holdings,Growth equity,May-02
IFC Medios,Buyout,Sep-01
Zone Vision,Growth equity,Apr-01
Fada Pharma,Buyout,Jan-01
Materis,Carve-out,Jan-01
MBF Cards,Buyout,Dec-00
Datek Online Holdings,Buyout,Dec-00
The Island ECN,Buyout,Dec-00
Italtel,Carve-out,Dec-00
Atrium Telecomunicações,Growth equity,Nov-00
DolEx Dollar Express,Buyout,Oct-00
NetLogistiK,Growth equity,Aug-00
Vinnolit,Carve-out,Jul-00
ScoreBoard,Growth equity,Jun-00
Avisium,Growth equity,Jun-00
Globopolis,Growth equity,Jun-00
Resort Sports Network (now Outside Television),Growth equity,May-00
Radio Kolor,Growth equity,May-00
Slovanet,Growth equity,May-00
Recommend,Growth equity,May-00
BCS,Carve-out,Apr-00
Speedy-Tech Electronics,Buyout,Mar-00
DTI Networks,Growth equity,Mar-00
Cybercity,Buyout,Mar-00
Tropon,Carve-out,Mar-00
Latin America Soccer Investments,Growth equity,Feb-00
Hogart,Buyout,Jan-00
CISA - Consultoría Internacional Casa de Cambio (now CI Banco),Carve-out,Dec-99
HLF Group,Public-to-private,Dec-99
Vestolit,Carve-out,Dec-99
Cesky Mobil,Growth equity,Dec-99
Westco Jeans,Buyout,Dec-99
Loxam,Secondary buyout,Sep-99
Alcala Farma,Growth equity,Sep-99
Euromedia,Buyout,Jul-99
MC International,Buyout,Jul-99
Thomson Directories,"Carve-out, Secondary buyout","Aug 1997, Jul 1999"
Tertio Telecoms,Buyout,Jun-99
Advanced Radio Telecom,"Growth equity, PIPE","Nov 1995, Jun 1999"
Alexander Mann Solutions,Growth equity,May-99
Inmobilaria Fumisa,Buyout,May-99
Graffigna,Buyout,May-99
Microsiga (now TOTVS),Growth equity,Apr-99
Eurozet,Growth equity,Feb-99
Li & Fung Distribution,Carve-out,Feb-99
Dollar Express,Buyout,Feb-99
Jazztel,Growth equity,Feb-99
GESA - Grupo Embotelladores del Sureste SA,Recapitalization,Dec-98
CVC,Growth equity,Dec-98
Euro United,Recapitalization,Nov-98
Arabela,Buyout,Oct-98
RedPrairie,Carve-out,Oct-98
Elender Informatikai,Growth equity,Oct-98
Moulin International Holdings,PIPE,Oct-98
Universal Assistance,Carve-out,Oct-98
CyberTron Telekom,Growth equity,Oct-98
Aeroplazas de México,Buyout,Sep-98
Mobifon (Connex),Carve-out,Jul-98
Brewery Holdings,Growth equity,"Oct 1996, Jul 1998"
HMV,Carve-out,Mar-98
Slag Recycling,Growth equity,Feb-98
WNP Communications,Growth equity,Jan-98
Panta Electronics,Carve-out,Jan-98
Americus Dental Labs,Growth equity,Dec-97
Contact East,Buyout,Dec-97
Ciraden (formerly MainStreet Dental Management),Growth equity,Dec-97
Elior,Buyout,Dec-97
Cordena Call Management,Growth equity,Nov-97
Managed Healthcare Associates,Buyout,Oct-97
National PetCare Centers,Growth equity,Oct-97
Pemco International,Carve-out,Sep-97
Synergon Information Systems,Growth equity,Sep-97
CSU CardSystem,Buyout,Jul-97
Long Distance International,Growth equity,Jul-97
MARR,Carve-out,Jul-97
Lande Wellpappen,Buyout,May-97
P.T. Sarana Kencana Indah Sejati,Growth equity,Apr-97
Wyncom,Growth equity,Apr-97
Trinity Pharmaceuticals,Carve-out,Mar-97
Internet Securities Inc. (d.b.a. ISI Emerging Markets),Growth equity,Mar-97
Human Group (formerly Alta Gestion),Growth equity,Feb-97
Brilliant Manufacturing,Growth equity,Jan-97
Homemaker Industries,Buyout,Jan-97
Subscriber Computing,Growth equity,Dec-96
Lionbridge Technologies,Carve-out,Dec-96
Hajdu Bet,Growth equity,Dec-96
Aeroboutiques (Latinoamericana Duty Free),Buyout,Dec-96
OK International,Growth equity,Nov-96
Star Foods,Growth equity,Oct-96
CountryBanc,Buyout,Oct-96
Csabai Konzervgyar,Buyout,Sep-96
Inframetrics,Buyout,Sep-96
Tecnologistica,Buyout,Sep-96
Ching Kuang Chemical Company,Growth equity,Aug-96
Kirkland's,Buyout,Jun-96
New Look,Buyout,May-96
Tweeter Home Entertainment Group,Growth equity,May-96
Eunet International,Growth equity,May-96
Lightbridge,Growth equity,Apr-96
@Entertainment,Growth equity,Mar-96
Euronet,Growth equity,Mar-96
Physicians' Online,Growth equity,Feb-96
Eversholt,Privatization,Feb-96
Progressive System Technologies,Growth equity,Jan-96
BIP Group,Carve-out,Oct-95
NetEdge Systems,Growth equity,Aug-95
DWA - Deutsche Waggonbau AG,Privatization,Jun-95
3i - Implant Innovations Inc.,Growth equity,May-95
Colofon,Buyout,Apr-95
